nr,spelare,pos,gp,g,a,tp,pim,gwg,ppg,sog,hits,bks,+,-,+/-,toi/gp,team
88.0,Jonathan LekkerimäkiJ Lekkerimäki,F,26,7,2,9,0,0,3,50,10,2,5,5,0,10:22,Djurgården Hockey
42.0,Ludvig HedströmL Hedström,D,48,2,7,9,6,1,0,24,27,36,22,17,5,12:57,Djurgården Hockey
9.0,*Cameron Schilling*C Schilling,D,22,1,8,9,10,1,0,34,9,35,21,18,3,21:56,Djurgården Hockey
55.0,*Linus Videll*L Videll,F,11,3,5,8,0,0,2,16,6,2,5,8,-3,18:17,Djurgården Hockey
17.0,*Linus Andersson*L Andersson,F,25,5,2,7,28,2,0,48,16,11,10,12,-2,13:46,Djurgården Hockey
86.0,*Éric Gélinas*É Gélinas,D,13,4,2,6,10,0,2,56,15,9,9,9,0,23:00,Djurgården Hockey
33.0,*Filiph Engsund*F Engsund,F,46,3,3,6,16,0,0,36,9,27,14,20,-6,13:24,Djurgården Hockey
96.0,*Matt Lorito*M Lorito,F,14,2,4,6,8,0,0,24,2,4,6,10,-4,12:39,Djurgården Hockey
67.0,*Peter Holland*P Holland,F,15,0,6,6,31,0,0,32,5,4,5,12,-7,15:51,Djurgården Hockey
55.0,*Emile Poirier*E Poirier,F,11,3,2,5,13,0,0,12,5,2,9,9,0,13:38,Djurgården Hockey
43.0,*Tom Nilsson*T Nilsson,D,24,2,3,5,16,1,0,31,29,33,19,23,-4,19:23,Djurgården Hockey
96.0,Emil BerglundE Berglund,F,26,2,3,5,8,0,0,24,22,6,10,12,-2,11:22,Djurgården Hockey
10.0,*Niclas Bergfors*N Bergfors,F,50,2,3,5,8,2,0,88,12,14,11,27,-16,11:38,Djurgården Hockey
4.0,Marcus HögströmM Högström,D,8,2,2,4,2,0,0,13,5,4,5,11,-6,21:12,Djurgården Hockey
8.0,Linus ArnessonL Arnesson,D,43,2,2,4,20,0,0,45,38,28,17,30,-13,20:01,Djurgården Hockey
26.0,*Alex Brännstam*A Brännstam,D,17,0,3,3,2,0,0,7,3,11,6,9,-3,8:39,Djurgården Hockey
6.0,*Josef Ingman*J Ingman,D,26,0,3,3,6,0,0,20,29,9,10,20,-10,11:50,Djurgården Hockey
6.0,*Stefan Warg*S Warg,D,37,0,3,3,14,0,0,34,50,31,14,21,-7,17:31,Djurgården Hockey
58.0,Fredrik ForsbergF Forsberg,F,23,1,1,2,0,1,0,17,11,8,3,4,-1,6:41,Djurgården Hockey
48.0,*Pontus Johansson*P Johansson,D,25,1,1,2,4,0,1,18,5,3,3,15,-12,10:26,Djurgården Hockey
15.0,Liam ÖhgrenL Öhgren,F,25,1,1,2,6,0,0,13,11,5,3,10,-7,6:59,Djurgården Hockey
22.0,*Oscar Bjerselius*O Bjerselius,F,34,0,2,2,4,0,0,20,7,15,5,18,-13,10:58,Djurgården Hockey
53.0,*Adam Engström*A Engström,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Djurgården Hockey
22.0,*Tobias Ekberg*T Ekberg,D,4,0,0,0,0,0,0,2,4,3,0,6,-6,13:28,Djurgården Hockey
,Calle OdeliusC Odelius,D,7,0,0,0,0,0,0,0,0,1,0,1,-1,4:07,Djurgården Hockey
53.0,Wiktor NilssonW Nilsson,F,8,0,0,0,0,0,0,2,7,3,0,1,-1,7:38,Djurgården Hockey
62.0,*Nils Strandberg Sarén*N Strandberg Sarén,D,9,0,0,0,0,0,0,4,1,1,1,2,-1,4:33,Djurgården Hockey
50.0,Noah ÖstlundN Östlund,F,11,0,0,0,0,0,0,4,1,2,0,2,-2,6:59,Djurgården Hockey
39.0,*Ty Rattie*T Rattie,F,51,21,26,47,32,3,13,203,9,12,32,48,-16,19:01,Timrå IK
78.0,Robin HanzlR Hanzl,F,52,13,27,40,32,3,4,71,43,19,34,48,-14,20:15,Timrå IK
21.0,Joey LaLeggiaJ LaLeggia,D,52,9,29,38,24,0,1,144,5,39,40,63,-23,24:00,Timrå IK
91.0,*Viktor Lodin*V Lodin,F,44,12,15,27,45,2,3,115,54,11,27,32,-5,16:57,Timrå IK
94.0,Sebastian HartmannS Hartmann,F,49,14,11,25,12,3,2,106,31,18,30,44,-14,17:20,Timrå IK
44.0,Jacob BlomqvistJ Blomqvist,F,48,10,12,22,18,2,2,74,12,21,27,39,-12,16:02,Timrå IK
33.0,Albin LundinA Lundin,F,49,9,13,22,14,3,3,69,32,16,20,38,-18,16:46,Timrå IK
81.0,*Jens Lööke*J Lööke,F,49,8,13,21,10,1,3,94,38,16,18,31,-13,13:56,Timrå IK
10.0,Robin AlvarezR Alvarez,F,42,4,13,17,45,0,0,59,18,14,22,27,-5,15:08,Timrå IK
2.0,Per SvenssonP Svensson,D,52,6,10,16,10,1,0,62,135,76,33,43,-10,19:15,Timrå IK
11.0,*Nolan Zajac*N Zajac,D,52,3,12,15,14,0,2,56,6,39,31,43,-12,18:55,Timrå IK
19.0,Erik AnderssonE Andersson,F,51,3,10,13,0,0,0,47,19,18,21,31,-10,13:20,Timrå IK
46.0,*Pontus Åberg*P Åberg,F,24,5,6,11,36,1,2,60,1,3,10,16,-6,17:11,Timrå IK
24.0,Erik Walli-WalterholmE Walli-Walterholm,F,50,2,5,7,10,0,0,43,41,24,12,25,-13,9:00,Timrå IK
52.0,*Christopher Liljewall*C Liljewall,F,28,1,5,6,8,0,0,20,6,11,9,19,-10,12:46,Timrå IK
85.0,*Filip Westerlund*F Westerlund,D,50,2,3,5,4,0,0,47,15,24,21,36,-15,14:58,Timrå IK
32.0,*Jacob Olofsson*J Olofsson,F,18,1,4,5,0,0,0,14,1,3,5,9,-4,8:48,Timrå IK
24.0,*Oliver Bohm*O Bohm,D,30,0,5,5,8,0,0,17,12,19,6,15,-9,12:00,Timrå IK
4.0,Tim ErixonT Erixon,D,47,2,2,4,55,0,0,69,23,60,26,34,-8,20:05,Timrå IK
8.0,*Ziyat Paigin*Z Paigin,D,12,1,3,4,8,0,1,33,6,12,9,12,-3,23:53,Timrå IK
14.0,*Albin Carlson*A Carlson,D,29,2,1,3,8,0,0,14,2,15,6,8,-2,9:27,Timrå IK
23.0,Jeremy Boyce-RotevallJ Boyce-Rotevall,F,46,2,0,2,2,0,0,15,17,17,4,8,-4,5:38,Timrå IK
9.0,Didrik StrömbergD Strömberg,D,11,1,1,2,6,0,0,16,16,5,10,5,5,17:29,Timrå IK
29.0,*Morten Madsen*M Madsen,F,35,1,1,2,2,0,0,17,14,9,7,14,-7,8:39,Timrå IK
12.0,*Viktor Liljegren*V Liljegren,F,30,1,0,1,4,0,0,20,6,7,3,7,-4,5:32,Timrå IK
19.0,Noel EdfeldtN Edfeldt,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Timrå IK
22.0,*Oskar Larsson*O Larsson,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Timrå IK
7.0,*Gustav Lindström*G Lindström,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Timrå IK
22.0,*Svante Nordberg*S Nordberg,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Timrå IK
27.0,Oliver JohanssonO Johansson,F,14,0,0,0,0,0,0,16,1,2,0,7,-7,6:49,Timrå IK
